"rank","slug","source","n_jobs","top_titles","sample_description"
"1205","obvio","ashby","10","Business Development Representative | Senior Embedded Engineer | Account Executive | Customer Service Representative | Head of Annotation Operations","About Obvio AI Each year, more than 40,000 people in the U.S. leave home and never make it back due to traffic crashes. At Obvio, we believe these deaths are preventable. We deploy solar-powered, AI-assisted cameras to enforce traffic laws where pedestrians are most vulnerable—automating enforcement in ways that traditional systems cannot. Our approach has already led to a 50% reduction in reckles"
"1206","omaha-public-power-district","linkedin","10","Engineer I - Power Quality | Senior Engineer (Generation Predictive Maintenance - PdM) | Senior Engineer - Power Quality | Electrical Engineer III (Substation) | Electrical Engineer I (Substation)","Responsibilities OPPD is adding a Power Quality Engineer to its Asset Management Team. The Power Quality Engineer is responsible for analyzing, monitoring, and improving the quality of power distributed through our utility systems and will work closely with operations, maintenance, and other engineering teams to identify and resolve power quality issues, develop strategies for improvement, and imp"
"1207","onexgeneral","greenhouse","10","Analyst, Total Rewards - 12 Month Contract | Corporate Accountant, Corporate Finance | Data Scientist, ONCAP/OpCo - 12 month contract | Fund Reporting, Fund Operations, Private Equity | Lead, Facilities, Toronto - 12 Month Contract (2026)","ABOUT ONEX: Onex is an investor and asset manager that invests capital on behalf of Onex shareholders and clients across the globe. Formed in 1984, we have a long track record of creating value for our clients and shareholders. Onex became a public company in 1987 and is listed on the Toronto Stock Exchange under the symbol ONEX. Onex’ two primary businesses are Private Equity and Credit. In Priva"
"1208","openfarminc","greenhouse","10","Manager, Food Safety & Quality Assurance (FSQA) | Regional Sales Manager (Central) | Regional Sales Manager (East) | Regional Sales Manager (West) | Senior Director, FSQA and Regulatory","About Us &nbsp; At Open Farm we are transforming the way people feed their pets, with a focus on producing premium, healthy food and treats, all ethically sourced from farm-to-bowl. Headquartered in Toronto and with team members across the US, Open Farm is one of the fastest growing CPG companies in North America. We believe that the best foods are made with consciously sourced, top-quality ingred"
"1209","orenda","greenhouse","10","Construction Manager | Corporate Systems Engineer | Cost Control Engineer | Manager, Pre-construction | Manager, Procurement","&nbsp; Company Orenda is on a mission to make the grid more efficient with renewable energy projects and proprietary asset management technology. We develop, build, own and operate battery energy storage projects in dense urban environments to bridge the gap between renewables and electricity consumption. We are a dynamic, NYC-based startup at the forefront of a new industry. We are seeking highly"
"1210","orisoft-technology-sdn-bhd","jobstreet","10","Application Executive/Consultant | Project Manager - Consulting | Payroll Specialist (Junior and Senior Position) | Senior Software Engineer | Software Engineer","[Category: Information & Communication Technology / Business/Systems Analysts] Location: Petaling Jaya, Malaysia Responsibilities: Act as main support to internal business units and external parties for the in-charge Product. Work closely with internal business units and external parties (business partners and government officers/website) to collect complete requirements for change requests includ"
"1211","osmosis","greenhouse","10","Clinical Content Editor - PGY-1/Medical Students | Elsevier Clinical Content Reviewer, Specialty Specific (Part-Time, Fixed Term Co | Elsevier Clinical Content Reviewer, Specialty Specific (Part-Time, Fixed Term Co | General Application | Medical Resident Ambassador (MD or DO)","Osmosis Regional Lead (RL) About Osmosis At Osmosis, we believe that everyone who cares for someone can learn by Osmosis. Our global team's mission is to empower clinicians and caregivers with the best learning experience possible, increase healthcare capacity, and ultimately improve patient outcomes. In 2021, we partnered with Elsevier - the world’s leading publisher and health information compan"
"1212","ozow","greenhouse","10","Accountant | Accounts Administrator | DevOps Engineer | Not now, but just now | Product Manager: Payments Fraud & Risk Solutions","Meet&nbsp;Ozow &nbsp; Ozow&nbsp;is a leading fintech company&nbsp;that's&nbsp;redefining digital payments in South Africa and beyond.&nbsp;We're&nbsp;dedicated to making payments more accessible, secure, and convenient for both businesses and consumers. As a fast-growing player in the financial technology sector,&nbsp;Ozow&nbsp;fosters a culture of innovation, diversity, and inclusivity. We believ"
"1213","pa-recruitment-kl-sdn-bhd","jobstreet","10","Power Bi Developer (1 Month Contract) | Client Implementation and Service Analyst | Jr. Finance Analyst or Sr. Finance Analyst (6 Months Contract) | Executive, Management Trainee | Marketing Internship (6 months)","[Category: Information & Communication Technology / Help Desk & IT Support] Leads a team of operations/technical services professionals accountable for all aspects of inbound customer service, including multi-platform, multi-software package technical support, problem identification, and resolution. Coordinates, controls, and supervises client service activities to ensure the highest quality of cl"
"1214","panacea-direct-inc","linkedin","10","Product Manager | Principal Java Developer | RTL Design Engineer | Kafka Admin | System Administrator","Job Title: Sr Software EngineerDuration : ContractLocation : Dearborn, MI Responsibilities:· Seeking an experienced and highly competent Senior Level COBOL Software Engineer/Developer to work on Enhancement, New Development, & Production Support· Projects for a mission critical Legacy Application (Vehicle Invoicing and Drafting, VI&D).· Vehicle Invoicing and Drafting is a Mainframe/COBOL Legacy ap"
"1215","panasonic-appliances-air-conditioning-malaysia-sdn-bhd","jobstreet","10","ELECTRICAL HIGH VOLTAGE CHARGEMAN (B4 CHARGEMAN) | R&D DIE DESIGN & PLANNING ENGINEER | IOT ENGINEER (JAPANESE SPEAKER) | BO CHARGEMAN (33KV) | R&D MECHANICAL ENGINEER - COMPRESSOR DESIGN","[Category: Marketing & Communications / Product Management & Development] Job Responsibilities: Build Room Air-conditioner (RAC) marketing strategy in Asia Pacific (APAC) region from product planning point of view. Develop marketing analysis and survey. Find issues and build solution with involving other parties (National sales company (NSC) and factory). Work with NSC in APAC region and seek cons"
